APN,New AIN,Old AIN
2350008039,,
2350008040,,
2350008041,,
2350009052,,
2350010015,,
2350010016,2350-010-058,2350-010-016*
2350010019,2350-010-058,2350-010-019*
2350010025,,
2350017009,2350-017-056,2350-017-009*
2350017014,,
2353002137,2353-002-137,
2353003015,,
2353003019,2353-003-058,2353-003-019*
2353005021,2353-005-027,2353-005-021*
2353005022,2353-005-027,2353-005-022*
2353005023,2353-005-030,2353-005-023*
2353005024,2353-005-030,2353-005-024*
2353006015,2353-005-030,2353-006-015*
2353006017,2353-006-026,2353-006-017*
2353006018,2353-006-026,2353-006-018*
2353006021,,
2353007001,2353-007-052,2353-007-001*
2353007002,2353-007-052,2353-007-002*
2353007008,2353-007-053,2353-007-008*
2353007011,2353-007-051,2353-007-011*
2353007012,2353-007-051,2353-007-012*
2353007013,2353-007-051,2353-007-013*
2353007031,2353-007-052,2353-007-031*
2353009002,,
2353009016,2353-009-031,2353-009-016*
2353012012,2353-012-037,2353-012-012*
2353012013,2353-012-037,2353-012-013*
2353013002,2353-013-099,2353-013-002*
2353013003,2353-013-101,2353-013-003*
2353013009,2353-013-099,2353-013-009*
2353013013,,
2353013019,2353-013-097,2353-013-019*
2353013036,2353-013-102,2353-013-036*
2353015001,,
2353015010,,
2353021001,,
2353021021,,
2353022008,2353-022-079,2353-022-008*
2353022009,2353-022-079,2353-022-009*
2353024018,2353-024-090,2353-024-018*
2353024019,2353-024-090,2353-024-019*
2353025033,,
2354004035,2354-004-076,2354-004-035*
2354012051,,
2354016022,2354-016-059,2354-016-022*
2354016023,2354-016-059,2354-016-023*
2354016024,2354-016-059,2354-016-024*
2355005037,,
2355005056,,
2355008039,,
2355019070,,
2356018014,,
2356020008,2356-020-025,2356-020-008*
2356020011,2356-020-025,2356-020-011*
2356024017,2356-024-061,2356-024-017*
2356037020,2356-037-047,2356-037-020*
2356037022,2356-037-047,2356-037-022*
2356037023,2356-037-047,2356-037-023*
2358032030,,
2359024031,,
2360002002,2360-002-046,2360-002-002*
2360004022,2360-004-121,2360-004-022*
2360004023,2360-004-121,2360-004-023*
2360004024,2360-004-121,2360-004-024*
2360004025,2360-004-121,2360-004-025*
2360005006,2360-005-062,2360-005-006*
2360010006,,
2360011005,2360-011-055,2360-011-005*
2360011006,2360-011-055,2360-011-006*
2360012006,2360-012-038,2360-012-006*
2360012009,2360-012-038,2360-012-009*
2360012014,2360-012-038,2360-012-014*
2360013012,,
2360021045,2360-021-045,
2360030039,2360-030-059,2360-030-039*
2362006013,2362-006-053,2362-006-013*
2362016020,2362-016-088,2362-016-020*
2362019013,2362-019-020,2362-019-013*
2364002048,2364-002-076,2364-002-048*
2364002051,2364-002-076,2364-002-051*
2364003046,2364-003-085,2364-003-046*
2364003047,2364-003-085,2364-003-047*
2364005020,2364-005-021,2364-005-020*
2364013018,,
2364013019,,
2364013020,,
2365002013,2365-002-022,2365-002-013*
2365013013,2365-013-026,2365-013-013*
2365013024,2365-013-026,2365-013-024*
2365014018,2365-014-045,2365-014-018*
2365016010,,
2365024005,2365-024-048,2365-024-005*
2365030007,2365-030-028,2365-030-007*
2365030008,2365-030-029,2365-030-008*
2365030028,2365-030-028,
2367004044,2367-004-091,2367-004-044*
2367014027,,
2367014040,2367-014-057,2367-014-040*
2368003017,2368-003-113,2368-003-017*
2368003018,2368-003-113,2368-003-018*
2368003019,2368-003-113,2368-003-019*
2368004011,2368-004-104,2368-004-011*
2368004012,2368-004-104,2368-004-012*
2368004020,2368-004-121,2368-004-020*
2368004021,2368-004-122,2368-004-021*
2368006016,,
2375003009,2375-003-044,2375-003-009*
2375008017,,
2375020153,2375-020-153,
2378004016,,
2378008012,,
2378013008,,
2404019047,,
2405019033,,
2409003006,2409-003-050,2409-003-006*
2409005002,2409-005-043,2409-005-002*
2409015040,2409-016-051,2409-015-040*
2409016020,2409-016-051,2409-016-020*
2410001031,2410-001-081,2410-001-031*
2414004013,,
2414004017,,
2414004019,,
2414027006,,
2415021019,,
2416006012,,
2416009015,,
2416023019,,
2416024005,2416-024-040,2416-024-005*
2416024006,2416-024-040,2416-024-006*
2416025001,,
2416025024,,
2416027008,2416-027-061,2416-027-008*
2416028025,2416-028-046,2416-028-025*
2417004010,,
2419001025,2419-001-046,2419-001-025*
2419004010,,
2419004011,,
2419004021,,
2419006015,,
2419008026,,
2419008027,,
2419010011,,
2419011007,,
2419011012,,
2419017010,2419-017-028,2419-017-010*
2419018012,2419-018-050,2419-018-012*
2421001023,2421-001-027,2421-001-023*
2421009005,2421-009-044,2421-009-005*
2421009005,2421-009-044,2421-009-005*
2421014009,2421-014-035,2421-014-009*
2421014010,2421-014-035,2421-014-010*
2421014011,2421-014-035,2421-014-011*
2421014031,,
2421014032,,
2421015004,,
2421015009,,
2421015023,,
2421022001,,
2421022002,,
2421022004,,
2421022026,,
2421024004,,
2421024012,,
2421030001,2421-030-028,2421-030-001*
2421030014,,
2421030015,,
2421030017,,
2421030018,,
2421030019,2421-030-019,2421-030-019*
2421034014,,
2423004012,,
2423011002,2423-011-045,2423-011-002*
2423011005,2423-011-045,2423-011-005*
2423013006,2423-013-110,2423-013-006*
2423014009,,
2423014013,,
2423016036,2423-016-115,2423-016-036*
2423018020,,
2423018021,,
2423018022,,
2423019009,2423-019-112,2423-019-009*
2423019010,2423-019-112,2423-019-010*
2423020010,2423-020-125,2423-020-010*
2423020011,2423-020-125,2423-020-011*
2423020012,2423-020-125,2423-020-012*
2423023004,2423-023-067,2423-023-004*
2423023005,2423-023-067,2423-023-005*
2423023006,,
2423023022,,
2423023023,,
2424002005,2424-002-048,2424-002-005*
2424005001,2424-005-063,2424-005-001*
2424006030,,
2424011002,2424-011-022,2424-011-002*
2424011003,2424-011-022,2424-011-003*
2424011004,2424-011-022,2424-011-004*
2424040007,,
2425002026,2425-002-043,2425-002-026*
2425003025,2425-003-053,2425-003-025*
2425005010,,
2425005018,,
2425005046,2425-005-046,2425-005-046*
2506015009,,
2506035010,2506-035-043,2506-035-010*
2506035040,2506-035-042,2506-035-040*
2537015054,2537-015-065,2537-015-054*
2556013018,2556-013-024,2556-013-018*
2558006002,2558-006-031,2558-006-002*
2558031003,,
2565008075,2565-008-092,2565-008-075*
2565013040,2565-013-102,2565-013-040*
2565013041,2565-013-102,2565-013-041*
2565014030,2565-014-152,2565-014-030*
2565014031,2565-014-152,2565-014-031*
2568015031,2568-015-073,2568-015-031*
2568016049,2568-016-062,2568-016-049*
2604019004,2604-019-031,2604-019-004*
2618023001,,
